"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Sertoli","Endothelial","VEGFC","FLT4",7.91417126561037e-07,0,"VEGFC_VEGFR3","VEGFC - VEGFR3","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"SSC","SSC","VEGFC","KDR",2.64519978817502e-08,0,"VEGFC_VEGFR2","VEGFC - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"Sertoli","SSC","VEGFC","KDR",2.00996237940364e-07,0,"VEGFC_VEGFR2","VEGFC - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"SSC","Spermatocyte","VEGFC","KDR",2.19316695654516e-08,0,"VEGFC_VEGFR2","VEGFC - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"Sertoli","Spermatocyte","VEGFC","KDR",1.66648656994799e-07,0,"VEGFC_VEGFR2","VEGFC - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"SSC","Spermatid","VEGFC","KDR",5.34318117611459e-08,0,"VEGFC_VEGFR2","VEGFC - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"Sertoli","Spermatid","VEGFC","KDR",4.06020203640474e-07,0,"VEGFC_VEGFR2","VEGFC - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"SSC","Endothelial","VEGFC","KDR",7.55153373494016e-07,0,"VEGFC_VEGFR2","VEGFC - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"Sertoli","Endothelial","VEGFC","KDR",5.74192974898797e-06,0,"VEGFC_VEGFR2","VEGFC - VEGFR2","VEGF","Secreted Signaling","KEGG: hsa04370; PMID: 16633338"
"SSC","SSC","VEGFC","FLT4_KDR",7.5108235949641e-08,0,"VEGFC_VEGFR2R3","VEGFC - VEGFR2R3","VEGF","Secreted Signaling","PMID: 16633338"
"Sertoli","SSC","VEGFC","FLT4_KDR",5.70734728124275e-07,0,"VEGFC_VEGFR2R3","VEGFC - VEGFR2R3","VEGF","Secreted Signaling","PMID: 16633338"
"SSC","Spermatocyte","VEGFC","FLT4_KDR",2.7556655879548e-08,0,"VEGFC_VEGFR2R3","VEGFC - VEGFR2R3","VEGF","Secreted Signaling","PMID: 16633338"
"Sertoli","Spermatocyte","VEGFC","FLT4_KDR",2.09391583177289e-07,0,"VEGFC_VEGFR2R3","VEGFC - VEGFR2R3","VEGF","Secreted Signaling","PMID: 16633338"
"SSC","Spermatid","VEGFC","FLT4_KDR",1.06272165267084e-07,0,"VEGFC_VEGFR2R3","VEGFC - VEGFR2R3","VEGF","Secreted Signaling","PMID: 16633338"
"Sertoli","Spermatid","VEGFC","FLT4_KDR",8.07596934441391e-07,0,"VEGFC_VEGFR2R3","VEGFC - VEGFR2R3","VEGF","Secreted Signaling","PMID: 16633338"
"SSC","Endothelial","VEGFC","FLT4_KDR",2.88347378441174e-07,0,"VEGFC_VEGFR2R3","VEGFC - VEGFR2R3","VEGF","Secreted Signaling","PMID: 16633338"
"Sertoli","Endothelial","VEGFC","FLT4_KDR",2.19155109203879e-06,0,"VEGFC_VEGFR2R3","VEGFC - VEGFR2R3","VEGF","Secreted Signaling","PMID: 16633338"
"SSC","SSC","EDA","EDAR",9.11740619850701e-07,0,"EDA_EDAR","EDA - EDAR","EDA","Secreted Signaling","KEGG: hsa04060"
"Sertoli","SSC","EDA","EDAR",1.75626242908134e-06,0,"EDA_EDAR","EDA - EDAR","EDA","Secreted Signaling","KEGG: hsa04060"
"SSC","Spermatocyte","EDA","EDAR",4.71109694333006e-07,0,"EDA_EDAR","EDA - EDAR","EDA","Secreted Signaling","KEGG: hsa04060"
"Sertoli","Spermatocyte","EDA","EDAR",9.07196265683834e-07,0.01,"EDA_EDAR","EDA - EDAR","EDA","Secreted Signaling","KEGG: hsa04060"
"SSC","Spermatid","EDA","EDAR",1.77276755444178e-06,0,"EDA_EDAR","EDA - EDAR","EDA","Secreted Signaling","KEGG: hsa04060"
"Sertoli","Spermatid","EDA","EDAR",3.42088762725428e-06,0,"EDA_EDAR","EDA - EDAR","EDA","Secreted Signaling","KEGG: hsa04060"
"SSC","Leydig","EDA","EDAR",3.57586190657083e-06,0,"EDA_EDAR","EDA - EDAR","EDA","Secreted Signaling","KEGG: hsa04060"
"Sertoli","Leydig","EDA","EDAR",6.94237364424397e-06,0,"EDA_EDAR","EDA - EDAR","EDA","Secreted Signaling","KEGG: hsa04060"
"SSC","Myoid","EDA","EDAR",1.4462124044564e-06,0,"EDA_EDAR","EDA - EDAR","EDA","Secreted Signaling","KEGG: hsa04060"
"Sertoli","Myoid","EDA","EDAR",2.7885526945819e-06,0,"EDA_EDAR","EDA - EDAR","EDA","Secreted Signaling","KEGG: hsa04060"
"SSC","Fibroblast","EDA","EDAR",5.61897760882425e-06,0,"EDA_EDAR","EDA - EDAR","EDA","Secreted Signaling","KEGG: hsa04060"
"Sertoli","Fibroblast","EDA","EDAR",1.0845457773066e-05,0,"EDA_EDAR","EDA - EDAR","EDA","Secreted Signaling","KEGG: hsa04060"
"Sertoli","Spermatocyte","SPP1","CD44",9.38691211228944e-06,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Spermatid","SPP1","CD44",9.53010186310042e-06,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Myoid","SPP1","CD44",7.03171341425356e-05,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Endothelial","SPP1","CD44",0.000100108628385626,0,"SPP1_CD44","SPP1 - CD44","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","SSC","SPP1","ITGAV_ITGB3",6.54793383525197e-05,0,"SPP1_ITGAV_ITGB3","SPP1 - (ITGAV+ITGB3)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Spermatid","SPP1","ITGAV_ITGB3",2.18109957410044e-05,0,"SPP1_ITGAV_ITGB3","SPP1 - (ITGAV+ITGB3)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Endothelial","SPP1","ITGAV_ITGB3",1.02459606475539e-05,0,"SPP1_ITGAV_ITGB3","SPP1 - (ITGAV+ITGB3)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","SSC","SPP1","ITGAV_ITGB1",0.000162574773108935,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Spermatid","SPP1","ITGAV_ITGB1",6.34140667112325e-05,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Sertoli","SPP1","ITGAV_ITGB1",0.00260610300695555,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Leydig","SPP1","ITGAV_ITGB1",4.00273314173767e-05,0.02,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Myoid","SPP1","ITGAV_ITGB1",0.000114576710869807,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Fibroblast","SPP1","ITGAV_ITGB1",0.000182713056705108,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Endothelial","SPP1","ITGAV_ITGB1",0.000101346024922631,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","SSC","SPP1","ITGAV_ITGB5",0.000163172106062368,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Sertoli","SPP1","ITGAV_ITGB5",0.00216835664448746,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Myoid","SPP1","ITGAV_ITGB5",6.46684789540893e-05,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Fibroblast","SPP1","ITGAV_ITGB5",0.000142868881812039,0.01,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Endothelial","SPP1","ITGAV_ITGB5",6.65135954131977e-05,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","Sertoli","SPP1","ITGA4_ITGB1",0.00105074423394216,0,"SPP1_ITGA4_ITGB1","SPP1 - (ITGA4+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
