"celltype","pathway","cluster","dataset","weight"
"Leydig","EGF","C1","healthy",0.00167650901092991
"Leydig","Estradiol","C4","healthy",0.00527943491169169
"Leydig","FGF","C4","healthy",0.00022424278629266
"Leydig","IGF","C4","crypto",4.4314830418458e-05
"Leydig","IGF","C4","healthy",0.00458751644813923
"Leydig","LAMININ","C4","crypto",0.00208202901730977
"Leydig","LAMININ","C4","healthy",0.0286279664742978
"Leydig","NRG","C4","healthy",0.0174584812526315
"Leydig","PTN","C1","crypto",0.000335219062152962
"Leydig","PTPR","C2","healthy",0.000863142307344902
"Leydig","TENASCIN","C4","healthy",0.000647668839337776
"Leydig","Testosterone","C4","healthy",0.00664533829387667
"Leydig","VCAM","C4","healthy",6.53554467077612e-05
"Myoid","ADGRL","C4","crypto",0.00253679697326366
"Myoid","ADGRL","C4","healthy",0.00360830084181215
"Myoid","COLLAGEN","C4","crypto",0.000873913234412671
"Myoid","COLLAGEN","C4","healthy",0.0118336026568387
"Myoid","Cholesterol","C1","healthy",0.00107691974718528
"Myoid","GAP","C4","healthy",2.53801592429033e-05
"Myoid","IGF","C4","crypto",0.000744065637164749
"Myoid","IGF","C4","healthy",0.00170207288312086
"Myoid","LAMININ","C4","crypto",0.00537117369746175
"Myoid","LAMININ","C4","healthy",0.0179181199634704
"Myoid","Netrin","C2","healthy",0.00010114441582995
"Myoid","PDGF","C4","crypto",1.96107618304515e-05
"Myoid","PDGF","C4","healthy",0.00147970576054598
"Myoid","SEMA5","C2","healthy",5.83630049192189e-05
"Myoid","TENASCIN","C4","healthy",0.000295015828644771
"Myoid","VCAM","C4","healthy",0.000129266157936695
"SSC","ADGRL","C4","crypto",0.00691005609718858
"SSC","ADGRL","C4","healthy",0.0129264268259946
"SSC","APP","C2","healthy",0.000885626157563193
"SSC","CADM","C2","crypto",0.00243282842203132
"SSC","CADM","C4","healthy",0.0175002321482059
"SSC","CD46","C4","crypto",4.14904799630992e-05
"SSC","CDH","C2","crypto",1.37019952651815e-05
"SSC","COLLAGEN","C4","crypto",0.000535277193646825
"SSC","COLLAGEN","C4","healthy",0.000460533002981383
"SSC","EPHA","C2","crypto",0.00102246423980748
"SSC","EPHA","C2","healthy",0.000860861672058894
"SSC","GAP","C4","healthy",6.25626559056167e-05
"SSC","JAM","C2","healthy",0.0011573645158932
"SSC","LAMININ","C4","crypto",0.00265306852996198
"SSC","LAMININ","C4","healthy",0.00962199413635613
"SSC","NCAM","C4","healthy",0.00379050377772047
"SSC","NECTIN","C2","crypto",8.97284757384975e-05
"SSC","NGL","C2","crypto",1.62868074016763e-05
"SSC","NGL","C4","healthy",0.000358474496885377
"SSC","NOTCH","C2","crypto",0.000315394746792139
"SSC","NRG","C4","crypto",0.0126876448173991
"SSC","NRG","C4","healthy",0.0103581286190045
"SSC","NRXN","C4","crypto",0.00146924242376692
"SSC","NRXN","C4","healthy",0.00322128007941584
"SSC","NT","C2","healthy",2.43931455723488e-05
"SSC","Netrin","C2","crypto",0.000341773370777489
"SSC","Netrin","C2","healthy",8.56640036426757e-05
"SSC","PTPRM","C4","crypto",0.0117266805791488
"SSC","PTPRM","C4","healthy",0.0175950617351287
"SSC","RELN","C2","healthy",0.000532555895639154
"SSC","SEMA3","C4","healthy",1.19853070829585e-05
"SSC","SEMA6","C4","crypto",0.000151978760934699
"SSC","SLIT","C2","crypto",0.00216155548001289
"SSC","SPP1","C4","crypto",0.000170839441445823
"Sertoli","2-AG","C2","healthy",0.00214604112587923
"Sertoli","ADGRL","C4","crypto",0.496251499285373
"Sertoli","ADGRL","C4","healthy",0.194360748199679
"Sertoli","APP","C2","healthy",0.0256953854737553
"Sertoli","APP","C4","crypto",0.0123207737880106
"Sertoli","Androstenedione","C1","healthy",0.00324379876157487
"Sertoli","Androstenedione","C4","crypto",8.84352236054786e-05
"Sertoli","BMP","C1","healthy",0.0047973040522499
"Sertoli","CADM","C2","crypto",0.348783479699237
"Sertoli","CADM","C4","healthy",0.169527523088929
"Sertoli","CD39","C4","healthy",0.000990594015207163
"Sertoli","CD45","C4","crypto",0.000342252230251597
"Sertoli","CD46","C4","crypto",4.14904799630992e-05
"Sertoli","CD99","C3","healthy",0.000107387859019693
"Sertoli","CDH","C2","crypto",0.141206997937639
"Sertoli","CDH","C2","healthy",0.0534411300821067
"Sertoli","CLDN","C3","healthy",0.0056432857179281
"Sertoli","CNTN","C4","healthy",0.00112432537983248
"Sertoli","COLLAGEN","C4","crypto",0.00154740696473572
"Sertoli","COLLAGEN","C4","healthy",0.0593221462781738
"Sertoli","Cholesterol","C1","crypto",0.000556515795597361
"Sertoli","Cholesterol","C1","healthy",0.0166195986617476
"Sertoli","Cort","C1","healthy",0.00121289603715104
"Sertoli","EGF","C1","healthy",0.000437892815872906
"Sertoli","EPHA","C2","crypto",0.00159873397171857
"Sertoli","EPHA","C2","healthy",0.00126368703178779
"Sertoli","EPHB","C2","crypto",0.00193054123348285
"Sertoli","EPHB","C2","healthy",0.00266372881666898
"Sertoli","Estradiol","C4","healthy",0.00391182268046144
"Sertoli","GAP","C4","healthy",0.000631449746045168
