"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","datasets","ligand.logFC","ligand.pct.1","ligand.pct.2","ligand.pvalues","receptor.logFC","receptor.pct.1","receptor.pct.2","receptor.pvalues"
"Sertoli","SSC","COL4A5","ITGA9_ITGB1",0.000441549961655361,0,"COL4A5_ITGA9_ITGB1","COL4A5 - (ITGA9+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","crypto",0.28169237996796,53.2666110647762,59.0374525058802,3.59338489897988e-121,0.146248529994838,37.1069182389937,26.9549763033175,4.50752038493358e-07
"Sertoli","SSC","LAMA1","ITGA9_ITGB1",0.00139876521233615,0,"LAMA1_ITGA9_ITGB1","LAMA1 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512","crypto",0.051057251023209,92.4288759151144,98.6701646462819,2.72195336298691e-186,0.146248529994838,37.1069182389937,26.9549763033175,4.50752038493358e-07
"SSC","SSC","LAMA2","ITGA9_ITGB1",1.46574253500323e-05,0,"LAMA2_ITGA9_ITGB1","LAMA2 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512","crypto",0.562337798982242,50.9433962264151,20.9715639810427,1.53643232656723e-58,0.146248529994838,37.1069182389937,26.9549763033175,4.50752038493358e-07
"Sertoli","SSC","LAMA2","ITGA9_ITGB1",0.00084341949250978,0,"LAMA2_ITGA9_ITGB1","LAMA2 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512","crypto",1.40330661825157,73.4778982485405,24.8869187624389,0,0.146248529994838,37.1069182389937,26.9549763033175,4.50752038493358e-07
"SSC","SSC","LAMA3","ITGA9_ITGB1",3.04536007582403e-06,0,"LAMA3_ITGA9_ITGB1","LAMA3 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512","crypto",0.192430743844318,25.2830188679245,12.2037914691943,1.28062443614045e-16,0.146248529994838,37.1069182389937,26.9549763033175,4.50752038493358e-07
"Sertoli","SSC","LAMB1","ITGA9_ITGB1",0.000585585780415848,0,"LAMB1_ITGA9_ITGB1","LAMB1 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512","crypto",1.02100674908116,59.1187100361412,12.6108196128098,0,0.146248529994838,37.1069182389937,26.9549763033175,4.50752038493358e-07
"Sertoli","Sertoli","LAMA1","DAG1",0.0476916502182039,0,"LAMA1_DAG1","LAMA1 - DAG1","LAMININ","ECM-Receptor","KEGG: hsa04512","crypto",0.051057251023209,92.4288759151144,98.6701646462819,2.72195336298691e-186,0.150205367621251,46.1356686127328,55.192690428804,4.77340336803622e-18
"Sertoli","Sertoli","LAMA2","DAG1",0.0288817481025379,0,"LAMA2_DAG1","LAMA2 - DAG1","LAMININ","ECM-Receptor","KEGG: hsa04512","crypto",1.40330661825157,73.4778982485405,24.8869187624389,0,0.150205367621251,46.1356686127328,55.192690428804,4.77340336803622e-18
"Sertoli","Sertoli","LAMB1","DAG1",0.0200931052351977,0,"LAMB1_DAG1","LAMB1 - DAG1","LAMININ","ECM-Receptor","KEGG: hsa04512","crypto",1.02100674908116,59.1187100361412,12.6108196128098,0,0.150205367621251,46.1356686127328,55.192690428804,4.77340336803622e-18
"Sertoli","SSC","CD46","JAG1",6.18590270846731e-05,0,"CD46_JAG1","CD46 - JAG1","CD46","Cell-Cell Contact","PMID: 23086448","crypto",0.14615389351486,28.834213696599,29.5910982449792,1.26010360486376e-11,0.0804018754995465,30.188679245283,24.1706161137441,0.00223614392372258
"SSC","SSC","CDH4","CDH4",1.02118388357869e-05,0,"CDH4_CDH4","CDH4 - CDH4","CDH","Cell-Cell Contact","KEGG: hsa04514","crypto",0.467565663336781,47.9245283018868,20.675355450237,5.83142564122823e-47,0.467565663336781,47.9245283018868,20.675355450237,5.83142564122823e-47
"SSC","Sertoli","EFNA5","EPHA7",0.00152192711302903,0,"EFNA5_EPHA7","EFNA5 - EPHA7","EPHA","Cell-Cell Contact","PMID: 15114347","crypto",0.985367340250768,81.7610062893082,46.2085308056872,1.29512854973213e-89,-0.486338395396987,48.6423871744973,83.4358603220554,0
"Sertoli","Sertoli","NCAM1","FGFR1",0.0161411366162106,0,"NCAM1_FGFR1","NCAM1 - FGFR1","NCAM","Cell-Cell Contact","PMID: 12791257","crypto",0.201110601601208,75.3776295060699,87.009227428985,5.84208060775404e-216,0.335698492637257,30.8034473172088,7.54478017007418,0
"Sertoli","Sertoli","NCAM1","NCAM1",0.147638297171828,0,"NCAM1_NCAM1","NCAM1 - NCAM1","NCAM","Cell-Cell Contact","KEGG: hsa04514","crypto",0.201110601601208,75.3776295060699,87.009227428985,5.84208060775404e-216,0.201110601601208,75.3776295060699,87.009227428985,5.84208060775404e-216
"Sertoli","Sertoli","NECTIN3","NECTIN2",0.00137056010396661,0,"NECTIN3_NECTIN2","NECTIN3 - NECTIN2","NECTIN","Cell-Cell Contact","PMID: 23027581","crypto",0.569540137858932,44.546381243629,13.8863759724986,0,-0.0553820504308611,26.4989342970994,45.1782160303962,3.21342227435669e-146
"SSC","SSC","LRRC4C","NTNG1",9.1307860088882e-06,0,"LRRC4C_NTNG1","LRRC4C - NTNG1","NGL","Cell-Cell Contact","KEGG: hsa04514","crypto",0.57852378117528,47.6729559748428,16.7061611374408,5.90616708011634e-66,NA,NA,NA,NA
"SSC","SSC","JAG1","NOTCH2",5.05854433186537e-06,0,"JAG1_NOTCH2","JAG1 - NOTCH2","NOTCH","Cell-Cell Contact","PMID: 22353464","crypto",0.0804018754995465,30.188679245283,24.1706161137441,0.00223614392372258,0.361427184753041,42.8930817610063,19.4905213270142,9.64899401145275e-39
"SSC","Sertoli","JAG1","NOTCH2",0.00045483954307377,0,"JAG1_NOTCH2","JAG1 - NOTCH2","NOTCH","Cell-Cell Contact","PMID: 22353464","crypto",0.0804018754995465,30.188679245283,24.1706161137441,0.00223614392372258,0.0554265034105313,59.5496246872394,76.6690790664013,1.07584835469241e-25
