"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Fibroblast","Sertoli","LAMA2","ITGA6_ITGB1",0.000460583386590909,0,"LAMA2_ITGA6_ITGB1","LAMA2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial","Sertoli","LAMA2","ITGA6_ITGB1",2.17670360563833e-05,0,"LAMA2_ITGA6_ITGB1","LAMA2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatocyte","Leydig","LAMA2","ITGA6_ITGB1",8.79975282493874e-05,0,"LAMA2_ITGA6_ITGB1","LAMA2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatid","Leydig","LAMA2","ITGA6_ITGB1",0.000101612122998672,0,"LAMA2_ITGA6_ITGB1","LAMA2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Leydig","Leydig","LAMA2","ITGA6_ITGB1",0.00014783982330847,0,"LAMA2_ITGA6_ITGB1","LAMA2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Leydig","LAMA2","ITGA6_ITGB1",0.000298015504261658,0,"LAMA2_ITGA6_ITGB1","LAMA2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Leydig","LAMA2","ITGA6_ITGB1",0.000146978081188789,0,"LAMA2_ITGA6_ITGB1","LAMA2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial","Leydig","LAMA2","ITGA6_ITGB1",6.90077624527373e-06,0,"LAMA2_ITGA6_ITGB1","LAMA2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatid","Endothelial","LAMA2","ITGA6_ITGB1",5.78228299272804e-06,0,"LAMA2_ITGA6_ITGB1","LAMA2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Leydig","Endothelial","LAMA2","ITGA6_ITGB1",8.41316240098688e-06,0,"LAMA2_ITGA6_ITGB1","LAMA2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Endothelial","LAMA2","ITGA6_ITGB1",1.70747599740054e-05,0,"LAMA2_ITGA6_ITGB1","LAMA2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Endothelial","LAMA2","ITGA6_ITGB1",8.42138044034988e-06,0,"LAMA2_ITGA6_ITGB1","LAMA2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","SSC","LAMA3","ITGA6_ITGB1",0.000821545542178951,0,"LAMA3_ITGA6_ITGB1","LAMA3 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Sertoli","LAMA3","ITGA6_ITGB1",0.00757331446526304,0,"LAMA3_ITGA6_ITGB1","LAMA3 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Leydig","LAMA3","ITGA6_ITGB1",0.00241279406597987,0,"LAMA3_ITGA6_ITGB1","LAMA3 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Endothelial","LAMA3","ITGA6_ITGB1",0.000137998200468321,0,"LAMA3_ITGA6_ITGB1","LAMA3 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","SSC","LAMB1","ITGA6_ITGB1",4.68943775509517e-05,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","SSC","LAMB1","ITGA6_ITGB1",8.05235714025572e-06,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial","SSC","LAMB1","ITGA6_ITGB1",2.33465598874418e-06,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Sertoli","LAMB1","ITGA6_ITGB1",0.000434526528211524,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Sertoli","LAMB1","ITGA6_ITGB1",7.49856056731591e-05,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial","Sertoli","LAMB1","ITGA6_ITGB1",2.17670360563833e-05,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Leydig","LAMB1","ITGA6_ITGB1",0.000138127402154283,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
