"","ADGRL","Androstenedione","APP","CADM","CDH","Cholesterol","COLLAGEN","EPHA","EPHB","IGF","JAM","LAMININ","MPZ","NCAM","NECTIN","Netrin","NGL","NRG","NRXN","PDGF","PROS","PTPRM","SEMA6","Testosterone"
"JAM",9.25113173118054e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,7.04034272570647e-18,0.357517881351859,6.65879446972748e-18,9.05570932387055e-15,8.41575372325954e-17,NA,1.71739490572943e-14,5.05726518181496e-14,6.65879446972748e-18,0.000104166323381665,0.1419050816213,6.65879446972748e-18,8.58233442128497e-16,8.78269355951284e-16,3.31457338397396e-11,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18
"LAMININ",4.1957688173716e-15,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,1.39993126956841e-17,6.65879446972748e-18,0.000734247895167421,7.57533107345239e-08,1.71739490572943e-14,NA,0.0164986155249845,6.65879446972748e-18,0.000871434776291668,1.99125233934385e-09,6.65879446972748e-18,6.09379702029764e-07,7.57732203809274e-18,0.513632675753816,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18
"MPZ",1.28016075840855e-08,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,3.99070802770044e-15,6.65879446972748e-18,0.594819793328411,0.0439140107805668,5.05726518181496e-14,0.0164986155249845,NA,6.65879446972748e-18,1.45149154180397e-05,7.75038282169014e-10,6.65879446972748e-18,0.0345108345838223,6.65879446972748e-18,0.00246659535235336,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18
"NCAM",6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,4.16833078666991e-16,6.65879446972748e-18,6.65879446972748e-18,3.33172671078074e-12,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,NA,6.65879446972748e-18,6.65879446972748e-18,0.000464970536694981,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,1.07871723445242e-13,6.65879446972748e-18,6.65879446972748e-18,2.80733895570502e-16
"NECTIN",3.12798093006776e-15,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.90994047120349e-18,1.25607429934375e-07,6.65879446972748e-18,3.89771698834727e-07,5.21531882740527e-09,0.000104166323381665,0.000871434776291668,1.45149154180397e-05,6.65879446972748e-18,NA,0.0135987211006283,6.65879446972748e-18,1.72468910240307e-08,3.87312389546465e-17,0.0169073332906196,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18
"Netrin",4.4638117768237e-17,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,7.39377538003046e-18,0.00789513053360291,6.65879446972748e-18,4.64651091589213e-13,5.34710122143855e-15,0.1419050816213,1.99125233934385e-09,7.75038282169014e-10,6.65879446972748e-18,0.0135987211006283,NA,6.65879446972748e-18,1.95521640068377e-14,6.50159098959102e-16,6.63495715222973e-07,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18
"NGL",6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,9.25113173118054e-18,7.04034272570647e-18,6.65879446972748e-18,4.94876990266823e-14,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,0.000464970536694981,6.65879446972748e-18,6.65879446972748e-18,NA,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,7.9413686555344e-15,6.65879446972748e-18,6.65879446972748e-18,6.24078773280291e-15
"NRG",2.76497628399218e-07,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,3.37807765639583e-17,6.65879446972748e-18,0.034053248065748,0.881106142322605,8.58233442128497e-16,6.09379702029764e-07,0.0345108345838223,6.65879446972748e-18,1.72468910240307e-08,1.95521640068377e-14,6.65879446972748e-18,NA,6.65879446972748e-18,2.00537481895785e-06,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18
"NRXN",6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,2.9744949972455e-15,5.77691992716507e-15,6.65879446972748e-18,6.90994047120349e-18,6.65879446972748e-18,8.78269355951284e-16,7.57732203809274e-18,6.65879446972748e-18,6.65879446972748e-18,3.87312389546465e-17,6.50159098959102e-16,6.65879446972748e-18,6.65879446972748e-18,NA,6.90994047120349e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18
"PDGF",1.06077482761936e-14,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,1.10203181170439e-13,6.65879446972748e-18,0.000275045980388519,5.80815688526187e-08,3.31457338397396e-11,0.513632675753816,0.00246659535235336,6.65879446972748e-18,0.0169073332906196,6.63495715222973e-07,6.65879446972748e-18,2.00537481895785e-06,6.90994047120349e-18,NA,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18
"PROS",6.65879446972748e-18,0.693787889053178,0.0395605309684276,0.0139446172315131,4.71121492974373e-08,6.65879446972748e-18,6.65879446972748e-18,0.000223303980644395,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,1.07871723445242e-13,6.65879446972748e-18,6.65879446972748e-18,7.9413686555344e-15,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,NA,0.00844924592177693,0.0125066266838722,5.98863526732817e-10
"PTPRM",6.65879446972748e-18,1.71410355951672e-07,0.00389647663023101,0.0768510857432866,5.83447639960469e-16,6.65879446972748e-18,6.65879446972748e-18,0.024697356184871,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,0.00844924592177693,NA,0.124548900661749,6.65879446972748e-18
"SEMA6",6.65879446972748e-18,0.000254715494066314,0.0220403180304993,0.297339760586174,2.82848149212838e-15,6.65879446972748e-18,6.65879446972748e-18,0.00183827019699995,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,0.0125066266838722,0.124548900661749,NA,6.65879446972748e-18
"Testosterone",6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,1.58300327346252e-06,6.65879446972748e-18,6.65879446972748e-18,3.58718382369749e-05,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,2.80733895570502e-16,6.65879446972748e-18,6.65879446972748e-18,6.24078773280291e-15,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,5.98863526732817e-10,6.65879446972748e-18,6.65879446972748e-18,NA
