"","ADGRL","Androstenedione","APP","CADM","CDH","Cholesterol","COLLAGEN","EPHA","EPHB","IGF","JAM","LAMININ","MPZ","NCAM","NECTIN","Netrin","NGL","NRG","NRXN","PDGF","PROS","PTPRM","SEMA6","Testosterone"
"JAM",0.322008721455417,-4.38320602730849,-3.69179510327719,-3.59165723186207,-2.19758794349461,-0.532841962075705,-0.000913045238176369,-2.29954252235336,0.237075122528134,0.237021245427172,NA,0.148353628277339,0.196850999903174,-1.55285700572085,0.0922745325994664,0.0295407776914437,-1.30957490258021,0.236125063876365,-0.228012939758943,0.140873862363494,-3.69446215987752,-3.48129640024331,-3.58685119449444,-1.92573396969954
"LAMININ",0.17380516608399,-4.48245880437604,-3.83240826429152,-3.69527248539771,-2.33182658733567,-0.695455648698044,-0.166987357385931,-2.47265164998328,0.0535204390337524,0.0799365555432107,-0.148353628277339,NA,0.048690099704444,-1.68886402245092,-0.072940441821463,-0.146966415675333,-1.48808187096133,0.100673882289471,-0.407959275157496,-0.000872721491268713,-3.89007693588686,-3.69786751150896,-3.63919271495828,-2.08364805165591
"MPZ",0.101986371212468,-4.52487941007426,-3.90746021569336,-3.71685338281678,-2.37519659420386,-0.743324190967338,-0.219943460858125,-2.47687873161749,0.00422872031050528,0.0473921352229126,-0.196850999903174,-0.048690099704444,NA,-1.72474578724956,-0.128561765207573,-0.16252179877084,-1.56339124127618,0.0241347760481279,-0.409602245615292,-0.0667832356511506,-3.94591000261928,-3.7341474517295,-3.66236612316596,-2.11499976428476
"NCAM",1.87812857109857,-2.96653879448652,-2.23534067116778,-2.03583294253404,-0.700135843590762,0.963589526930481,1.51953641714668,-0.717475972718987,1.74572118790687,1.78784223876409,1.55285700572085,1.68886402245092,1.72474578724956,NA,1.60941977796152,1.5401233648766,0.206664353632518,1.76248723957178,1.27965655347617,1.64717621610184,-1.96169858730278,-1.9522060385903,-2.07980898010422,-0.355019363408536
"NECTIN",0.233101262353185,-4.50404177185875,-3.77185827683016,-3.63601761743082,-2.23494283069879,-0.642369846013051,-0.111654822984176,-2.2934397106117,0.112419379266104,0.134225411116382,-0.0922745325994664,0.072940441821463,0.128561765207573,-1.60941977796152,NA,-0.0443084547145539,-1.43328107956891,0.153589914900164,-0.284678932934059,0.0589243236447487,-3.84077475650831,-3.5945464533773,-3.67447281786507,-1.98787414567449
"Netrin",0.290199435517995,-4.30638902512654,-3.7598070275951,-3.57729440852056,-2.17663424012318,-0.592205130376394,-0.0406417574662617,-2.40099839920358,0.152795423406503,0.210063641188928,-0.0295407776914437,0.146966415675333,0.16252179877084,-1.5401233648766,0.0443084547145539,NA,-1.42465046537331,0.201158171862724,-0.2588202301036,0.095799311725054,-3.83605271528211,-3.56779048188697,-3.60480381437797,-1.90475331143706
"NGL",1.66556251153738,-3.14249363200342,-2.35308963584429,-2.10671097510023,-0.863218806936422,0.77316795733145,1.32785982048991,-0.882827979394601,1.56868222341213,1.57743128335082,1.30957490258021,1.48808187096133,1.56339124127618,-0.206664353632518,1.43328107956891,1.42465046537331,NA,1.583489985309,1.08816808574704,1.51465925135162,-2.33314520742441,-2.13625004268878,-2.31075218568336,-0.601894426029077
"NRG",0.0807653734597716,-4.51991214853348,-3.91954284046966,-3.84389937994296,-2.4018196150636,-0.827347120408462,-0.255524057395677,-2.56029620987853,-0.0222898232470294,-0.000214927986568497,-0.236125063876365,-0.100673882289471,-0.0241347760481279,-1.76248723957178,-0.153589914900164,-0.201158171862724,-1.583489985309,NA,-0.492649394822774,-0.100989524838907,-3.93082143657564,-3.73832346124808,-3.76488416928217,-2.13138852880768
"NRXN",0.584264079893129,-4.20530523898743,-3.4659652273353,-3.37995624584999,-1.90552983143175,-0.349482108809032,0.220885221445645,-2.0897374453468,0.459520083139565,0.481551539103613,0.228012939758943,0.407959275157496,0.409602245615292,-1.27965655347617,0.284678932934059,0.2588202301036,-1.08816808574704,0.492649394822774,NA,0.358941895538745,-3.63826168111261,-3.25264137346876,-3.27620819393871,-1.67329804330674
"PDGF",0.176522146962876,-4.54872059361147,-3.8522656811776,-3.67572572427107,-2.27483066795077,-0.702120564055197,-0.182224660779195,-2.40971848793929,0.0811425166773657,0.0782062885521939,-0.140873862363494,0.000872721491268713,0.0667832356511506,-1.64717621610184,-0.0589243236447487,-0.095799311725054,-1.51465925135162,0.100989524838907,-0.358941895538745,NA,-3.88338330326816,-3.63528841578818,-3.69180387984145,-2.06344348647236
"PROS",4.01477840773582,-0.41785347398019,0.108058074346492,-0.0900741588380003,1.77670479461453,3.0334855622796,3.75298469810138,0.932131611230625,3.85871824515489,3.99504835360327,3.69446215987752,3.89007693588686,3.94591000261928,1.96169858730278,3.84077475650831,3.83605271528211,2.33314520742441,3.93082143657564,3.63826168111261,3.88338330326816,NA,0.0200294297731474,0.729361287449394,1.65563845935644
"PTPRM",3.85575621871623,-1.14101568545593,-0.243623609072567,-0.117012596028062,1.3152795533684,2.92830558745843,3.52878287754277,1.11935777722683,3.75319576946545,3.77280458730591,3.48129640024331,3.69786751150896,3.7341474517295,1.9522060385903,3.5945464533773,3.56779048188697,2.13625004268878,3.73832346124808,3.25264137346876,3.63528841578818,-0.0200294297731474,NA,-0.123473244843429,1.59993709034345
"SEMA6",3.81562768560499,-0.703233353803775,-0.30460198038251,0.0763239263796265,1.36276567617074,3.00036804298778,3.50627599735433,1.07753121823258,3.79567285141776,3.74215262252452,3.58685119449444,3.63919271495828,3.66236612316596,2.07980898010422,3.67447281786507,3.60480381437797,2.31075218568336,3.76488416928217,3.27620819393871,3.69180387984145,-0.729361287449394,0.123473244843429,NA,1.68552977718843
"Testosterone",2.2244713672702,-2.46959033585403,-1.85774195030466,-1.64570893115934,-0.254536198372991,1.35963034550937,1.8666474587455,-0.365902039238505,2.1011033087612,2.1651391400198,1.92573396969954,2.08364805165591,2.11499976428476,0.355019363408536,1.98787414567449,1.90475331143706,0.601894426029077,2.13138852880768,1.67329804330674,2.06344348647236,-1.65563845935644,-1.59993709034345,-1.68552977718843,NA
