"","ADGRL","Androstenedione","APP","CADM","CDH","Cholesterol","COLLAGEN","EPHA","EPHB","IGF","JAM","LAMININ","MPZ","NCAM","NECTIN","Netrin","NGL","NRG","NRXN","PDGF","PROS","PTPRM","SEMA6","Testosterone"
"JAM",6.0333467812047e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.46398542390809e-18,0.352336462781542,3.95591160889952e-18,6.72616091084588e-15,5.73246992743766e-17,NA,1.28804617929708e-14,3.8479191600766e-14,3.95591160889952e-18,9.05794116362306e-05,0.138820188542577,3.95591160889952e-18,6.03251042655538e-16,6.20516392791668e-16,2.5820046288203e-11,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
"LAMININ",3.04041218650116e-15,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,9.18070868811165e-18,3.95591160889952e-18,0.000651778022884124,6.17554163596662e-08,1.28804617929708e-14,NA,0.0154226188603116,3.95591160889952e-18,0.000776713604955617,1.58001544317502e-09,3.95591160889952e-18,5.12232213300382e-07,4.88682363326271e-18,0.508049711886927,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
"MPZ",1.02505625945033e-08,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,2.87735832432025e-15,3.95591160889952e-18,0.590509504970959,0.0423229234334448,3.8479191600766e-14,0.0154226188603116,NA,3.95591160889952e-18,1.25164850343966e-05,6.12167918524801e-10,3.95591160889952e-18,0.0328853242592219,4.07730530936212e-18,0.00222529798092749,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
"NCAM",3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,2.8846057255578e-16,3.95591160889952e-18,3.95591160889952e-18,2.58329534821405e-12,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,NA,3.95591160889952e-18,3.95591160889952e-18,0.000411060909252085,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,8.24671508947323e-14,3.95591160889952e-18,3.95591160889952e-18,1.93258841153607e-16
"NECTIN",2.24398631939643e-15,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.33123080260219e-18,1.03307560127185e-07,3.95591160889952e-18,3.26221965329065e-07,4.15713819575782e-09,9.05794116362306e-05,0.000776713604955617,1.25164850343966e-05,3.95591160889952e-18,NA,0.012613306528119,3.95591160889952e-18,1.38724993019377e-08,2.59611565456869e-17,0.0158659395734438,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
"Netrin",3.00822098003336e-17,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.74166029806301e-18,0.0072085974437244,3.95591160889952e-18,3.58589429378632e-13,3.89408458517807e-15,0.138820188542577,1.58001544317502e-09,6.12167918524801e-10,3.95591160889952e-18,0.012613306528119,NA,3.95591160889952e-18,1.47349641790661e-14,4.54640239489517e-16,5.6012500596722e-07,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
"NGL",3.95591160889952e-18,4.07730530936212e-18,3.95591160889952e-18,3.95591160889952e-18,6.0333467812047e-18,4.46398542390809e-18,3.95591160889952e-18,3.74743807846978e-14,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.000411060909252085,3.95591160889952e-18,3.95591160889952e-18,NA,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,5.86970726713412e-15,3.95591160889952e-18,4.07730530936212e-18,4.59014460057605e-15
"NRG",2.30414690332682e-07,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,2.23981235913202e-17,3.95591160889952e-18,0.0323259093957463,0.881106142322605,6.03251042655538e-16,5.12232213300382e-07,0.0328853242592219,3.95591160889952e-18,1.38724993019377e-08,1.47349641790661e-14,3.95591160889952e-18,NA,3.95591160889952e-18,1.71474078722483e-06,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
"NRXN",3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,2.12309969006291e-15,4.22803559886719e-15,3.95591160889952e-18,4.33123080260219e-18,4.07730530936212e-18,6.20516392791668e-16,4.88682363326271e-18,4.07730530936212e-18,3.95591160889952e-18,2.59611565456869e-17,4.54640239489517e-16,3.95591160889952e-18,3.95591160889952e-18,NA,4.33123080260219e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
"PDGF",7.91737733657925e-15,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,8.46488203193224e-14,3.95591160889952e-18,0.000242160047950761,4.71386645760384e-08,2.5820046288203e-11,0.508049711886927,0.00222529798092749,3.95591160889952e-18,0.0158659395734438,5.6012500596722e-07,3.95591160889952e-18,1.71474078722483e-06,4.33123080260219e-18,NA,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
