"human_symbol","n_horse_genes","n_present","best_gene","best_expr","non_loc_gene","non_loc_expr","non_loc_is_best","all_genes"
"SPCS1",2,2,"LOC111768326",4896,"SPCS1",1636,FALSE,"LOC111768326=4896; SPCS1=1636"
"SPEF2",5,5,"SPEF2",146794,"SPEF2",146794,TRUE,"LOC111769796=3; LOC111769798=13; LOC111772103=19; LOC111772104=0; SPEF2=146794"
"SSC4D",2,2,"SSC4D",3407,"SSC4D",3407,TRUE,"LOC111767631=509; SSC4D=3407"
"ST3GAL5",3,3,"ST3GAL5",19,"ST3GAL5",19,TRUE,"LOC111771968=1; LOC111771995=0; ST3GAL5=19"
"ST8SIA1",3,3,"LOC111772374",38,NA,NA,NA,"LOC111772030=5; LOC111772221=0; LOC111772374=38"
"STARD13",2,2,"STARD13",66890,"STARD13",66890,TRUE,"LOC111768563=2092; STARD13=66890"
"STX4",2,2,"STX4",3055,"STX4",3055,TRUE,"LOC106781540=523; STX4=3055"
"SUSD2",2,2,"LOC111774583",670,"SUSD2",190,FALSE,"LOC111774583=670; SUSD2=190"
"SV2B",2,2,"SV2B",3584,"SV2B",3584,TRUE,"LOC111771845=50; SV2B=3584"
"SYNCRIP",2,2,"LOC111767505",1342,"SYNCRIP",2,FALSE,"LOC111767505=1342; SYNCRIP=2"
"SYNJ2",2,2,"SYNJ2",11684,"SYNJ2",11684,TRUE,"LOC111771415=197; SYNJ2=11684"
"SYT1",2,2,"SYT1",14056,"SYT1",14056,TRUE,"LOC111771130=5; SYT1=14056"
"SYT16",2,2,"SYT16",34364,"SYT16",34364,TRUE,"LOC106782508=0; SYT16=34364"
"TACC2",2,2,"TACC2",73572,"TACC2",73572,TRUE,"LOC111772912=651; TACC2=73572"
"TAF9",2,2,"AK6",20058,"TAF9",5111,FALSE,"AK6=20058; TAF9=5111"
"TAGAP",2,2,"LOC106782921",51261,"TAGAP",6371,FALSE,"LOC106782921=51261; TAGAP=6371"
"TAS1R2",4,4,"LOC111772302",3,"TAS1R2",0,FALSE,"LOC100913083=0; LOC111771737=0; LOC111772302=3; TAS1R2=0"
"TCERG1L",2,2,"LOC100051859",1182,"TCERG1L",493,FALSE,"LOC100051859=1182; TCERG1L=493"
"TECPR1",2,2,"TECPR1",10904,"TECPR1",10904,TRUE,"LOC102149504=2417; TECPR1=10904"
"TENM4",2,2,"TENM4",284660,"TENM4",284660,TRUE,"LOC111774468=7142; TENM4=284660"
"TFAM",2,2,"TFAM",17646,"TFAM",17646,TRUE,"LOC111773973=3419; TFAM=17646"
"TFF2",2,2,"LOC111770832",8,"TFF2",3,FALSE,"LOC111770832=8; TFF2=3"
"TGFB2",2,2,"TGFB2",367,"TGFB2",367,TRUE,"LOC111771316=100; TGFB2=367"
"THAP7",2,2,"LOC100147447",808,"THAP7",219,FALSE,"LOC100147447=808; THAP7=219"
"THSD7B",2,2,"LOC111768890",189784,"THSD7B",103567,FALSE,"LOC111768890=189784; THSD7B=103567"
"TLR4",2,2,"LOC111771935",0,"TLR4",0,FALSE,"LOC111771935=0; TLR4=0"
"TMCC3",2,2,"TMCC3",184119,"TMCC3",184119,TRUE,"LOC111771103=0; TMCC3=184119"
"TMCO5A",2,2,"LOC111768329",4,"TMCO5A",1,FALSE,"LOC111768329=4; TMCO5A=1"
"TMCO6",4,4,"TMCO6",32,"TMCO6",32,TRUE,"LOC111767403=0; LOC111767404=2; LOC111767789=0; TMCO6=32"
"TMEM132D",2,2,"LOC111774686",10289,"TMEM132D",243,FALSE,"LOC111774686=10289; TMEM132D=243"
