"gene","reason"
"DOPA-DDC_SLC18A1","NO_ORTHOLOG_IN_MAPPING"
"DOPA-DDC_SLC18A2","NO_ORTHOLOG_IN_MAPPING"
"DOPA-DDC_SLC6A3","NO_ORTHOLOG_IN_MAPPING"
"LXA4-ALOX12","NO_ORTHOLOG_IN_MAPPING"
"LXA4-ALOX5","NO_ORTHOLOG_IN_MAPPING"
"MT-RNR2","NO_ORTHOLOG_IN_MAPPING"
"Glu-SLC17A6_GLS","NO_ORTHOLOG_IN_MAPPING"
"Glu-SLC17A7_GLS","NO_ORTHOLOG_IN_MAPPING"
"Glu-SLC17A8_GLS","NO_ORTHOLOG_IN_MAPPING"
"Glu-SLC1A1_GLS","NO_ORTHOLOG_IN_MAPPING"
"Glu-SLC1A2_GLS","NO_ORTHOLOG_IN_MAPPING"
"Glu-SLC1A3_GLS","NO_ORTHOLOG_IN_MAPPING"
"Glu-SLC1A6_GLS","NO_ORTHOLOG_IN_MAPPING"
"Glu-SLC1A7_GLS","NO_ORTHOLOG_IN_MAPPING"
"Glu-SLC17A6_GLS2","NO_ORTHOLOG_IN_MAPPING"
"Glu-SLC17A7_GLS2","NO_ORTHOLOG_IN_MAPPING"
"Glu-SLC17A8_GLS2","NO_ORTHOLOG_IN_MAPPING"
"Glu-SLC1A1_GLS2","NO_ORTHOLOG_IN_MAPPING"
"Glu-SLC1A2_GLS2","NO_ORTHOLOG_IN_MAPPING"
"Glu-SLC1A3_GLS2","NO_ORTHOLOG_IN_MAPPING"
"Glu-SLC1A6_GLS2","NO_ORTHOLOG_IN_MAPPING"
"Glu-SLC1A7_GLS2","NO_ORTHOLOG_IN_MAPPING"
"Glu-NRXN1_CBLN1","NO_ORTHOLOG_IN_MAPPING"
"Hist-HDC","NO_ORTHOLOG_IN_MAPPING"
"LTB4-LTA4H","NO_ORTHOLOG_IN_MAPPING"
"b-Endorphin-POMC","NO_ORTHOLOG_IN_MAPPING"
"PGD2-PTGDS","NO_ORTHOLOG_IN_MAPPING"
"PGE2-PTGES","NO_ORTHOLOG_IN_MAPPING"
"PGE2-PTGES2","NO_ORTHOLOG_IN_MAPPING"
"PGE2-PTGES3","NO_ORTHOLOG_IN_MAPPING"
"PGD2-AKR1C3","NO_ORTHOLOG_IN_MAPPING"
"PGF2a-CBR1","NO_ORTHOLOG_IN_MAPPING"
"PGF2a-PRXL2B","NO_ORTHOLOG_IN_MAPPING"
"PGI2-PTGIS","NO_ORTHOLOG_IN_MAPPING"
"TXA2-TBXAS1","NO_ORTHOLOG_IN_MAPPING"
"12oxoLTB4-PTGR1","NO_ORTHOLOG_IN_MAPPING"
"22HC-CYP11A1","NO_ORTHOLOG_IN_MAPPING"
"22HC-CYP3A4","NO_ORTHOLOG_IN_MAPPING"
"2AG-DAGLA","NO_ORTHOLOG_IN_MAPPING"
"2AG-DAGLB","NO_ORTHOLOG_IN_MAPPING"
"5alphaP-DHRS9","NO_ORTHOLOG_IN_MAPPING"
"ADORA3","NO_ORTHOLOG_IN_MAPPING"
"Aldo-CYP11B2","NO_ORTHOLOG_IN_MAPPING"
"Androstenedione-CYP17A1","NO_ORTHOLOG_IN_MAPPING"
"Androsterone-HSD17B6","NO_ORTHOLOG_IN_MAPPING"
"RA-ALDH1A1","NO_ORTHOLOG_IN_MAPPING"
"RA-ALDH1A2","NO_ORTHOLOG_IN_MAPPING"
"RA-ALDH1A3","NO_ORTHOLOG_IN_MAPPING"
"Calcitriol-CYP27B1","NO_ORTHOLOG_IN_MAPPING"
"CEACAM5","NO_ORTHOLOG_IN_MAPPING"
"CEACAM6","NO_ORTHOLOG_IN_MAPPING"
"CEACAM8","NO_ORTHOLOG_IN_MAPPING"
"Cholesterol-CEL","NO_ORTHOLOG_IN_MAPPING"
"Cholesterol-DHCR24","NO_ORTHOLOG_IN_MAPPING"
"Cholesterol-DHCR7","NO_ORTHOLOG_IN_MAPPING"
"Cholesterol-LIPA","NO_ORTHOLOG_IN_MAPPING"
"Cort-CYP11B1","NO_ORTHOLOG_IN_MAPPING"
"DHEA-STS","NO_ORTHOLOG_IN_MAPPING"
"Desmosterol-DHCR7","NO_ORTHOLOG_IN_MAPPING"
"DOC-CYP21A2","NO_ORTHOLOG_IN_MAPPING"
"DHEAS-SULT1E1","NO_ORTHOLOG_IN_MAPPING"
"DHEAS-SULT2A1","NO_ORTHOLOG_IN_MAPPING"
"DHEAS-SULT2B","NO_ORTHOLOG_IN_MAPPING"
"DHT-SRD5A1","NO_ORTHOLOG_IN_MAPPING"
"DHT-SRD5A2","NO_ORTHOLOG_IN_MAPPING"
"DHT-SRD5A3","NO_ORTHOLOG_IN_MAPPING"
"E2-CYP19A1","NO_ORTHOLOG_IN_MAPPING"
"E2-HSD17B1","NO_ORTHOLOG_IN_MAPPING"
"LAIR1","NO_ORTHOLOG_IN_MAPPING"
"Melatonin-ASMT","NO_ORTHOLOG_IN_MAPPING"
"MICA","NO_ORTHOLOG_IN_MAPPING"
"MICB","NO_ORTHOLOG_IN_MAPPING"
"Pregnenolone-CYP11A1","NO_ORTHOLOG_IN_MAPPING"
"Progesterone-HSD3B1","NO_ORTHOLOG_IN_MAPPING"
"5-HT-DOPA-DDC","NO_ORTHOLOG_IN_MAPPING"
"SIRPG","NO_ORTHOLOG_IN_MAPPING"
"Testosterone-AKR1D1","NO_ORTHOLOG_IN_MAPPING"
"Testosterone-HSD17B12","NO_ORTHOLOG_IN_MAPPING"
"Testosterone-HSD17B3","NO_ORTHOLOG_IN_MAPPING"
"GPHB5_GPHA2","NO_ORTHOLOG_IN_MAPPING"
"CGA_TSHB","NO_ORTHOLOG_IN_MAPPING"
"T3-DIO3","NO_ORTHOLOG_IN_MAPPING"
"TULP1","NO_ORTHOLOG_IN_MAPPING"
"TGFbR1_R2","NO_ORTHOLOG_IN_MAPPING"
"ACVR1B_TGFbR2","NO_ORTHOLOG_IN_MAPPING"
"ACVR1C_TGFbR2","NO_ORTHOLOG_IN_MAPPING"
"ACVR1_TGFbR","NO_ORTHOLOG_IN_MAPPING"
"BMPR1A_ACVR2A","NO_ORTHOLOG_IN_MAPPING"
"BMPR1A_ACVR2B","NO_ORTHOLOG_IN_MAPPING"
"BMPR1A_BMPR2","NO_ORTHOLOG_IN_MAPPING"
"BMPR1B_ACVR2A","NO_ORTHOLOG_IN_MAPPING"
"BMPR1B_ACVR2B","NO_ORTHOLOG_IN_MAPPING"
"BMPR1B_BMPR2","NO_ORTHOLOG_IN_MAPPING"
"ACVR1_ACVR2A","NO_ORTHOLOG_IN_MAPPING"
"ACVR1_ACVR2B","NO_ORTHOLOG_IN_MAPPING"
"ACVR1_BMPR2","NO_ORTHOLOG_IN_MAPPING"
"ACVRL1_BMPR2","NO_ORTHOLOG_IN_MAPPING"
"ACVRL1_ACVR2A","NO_ORTHOLOG_IN_MAPPING"
"ACVR1B_BMPR2","NO_ORTHOLOG_IN_MAPPING"
"ACVR1B_ACVR2A","NO_ORTHOLOG_IN_MAPPING"
"TGFBR1_ACVR2A","NO_ORTHOLOG_IN_MAPPING"
"TGFBR1_ACVR2B","NO_ORTHOLOG_IN_MAPPING"
"ACVR1B_ACVR2B","NO_ORTHOLOG_IN_MAPPING"
"AMHR2_ACVR1","NO_ORTHOLOG_IN_MAPPING"
"AMHR2_BMPR1A","NO_ORTHOLOG_IN_MAPPING"
"GFRA1_RET","NO_ORTHOLOG_IN_MAPPING"
"GFRA2_RET","NO_ORTHOLOG_IN_MAPPING"
"GFRA3_RET","NO_ORTHOLOG_IN_MAPPING"
"GFRA4_RET","NO_ORTHOLOG_IN_MAPPING"
"ACVR1B_ACVR2A_CFC1","NO_ORTHOLOG_IN_MAPPING"
"ACVR1C_ACVR2A_CFC1","NO_ORTHOLOG_IN_MAPPING"
"ACVR1B_ACVR2B_CFC1","NO_ORTHOLOG_IN_MAPPING"
"ACVR1C_ACVR2B_CFC1","NO_ORTHOLOG_IN_MAPPING"
"ACVR1C_ACVR2A","NO_ORTHOLOG_IN_MAPPING"
"ACVR1C_ACVR2B","NO_ORTHOLOG_IN_MAPPING"
"FZD1_LRP5","NO_ORTHOLOG_IN_MAPPING"
"FZD10_LRP5","NO_ORTHOLOG_IN_MAPPING"
"FZD2_LRP5","NO_ORTHOLOG_IN_MAPPING"
"FZD3_LRP5","NO_ORTHOLOG_IN_MAPPING"
"FZD4_LRP5","NO_ORTHOLOG_IN_MAPPING"
"FZD5_LRP5","NO_ORTHOLOG_IN_MAPPING"
"FZD6_LRP5","NO_ORTHOLOG_IN_MAPPING"
"FZD7_LRP5","NO_ORTHOLOG_IN_MAPPING"
"FZD8_LRP5","NO_ORTHOLOG_IN_MAPPING"
"FZD9_LRP5","NO_ORTHOLOG_IN_MAPPING"
"FZD1_LRP6","NO_ORTHOLOG_IN_MAPPING"
"FZD10_LRP6","NO_ORTHOLOG_IN_MAPPING"
"FZD2_LRP6","NO_ORTHOLOG_IN_MAPPING"
"FZD3_LRP6","NO_ORTHOLOG_IN_MAPPING"
"FZD4_LRP6","NO_ORTHOLOG_IN_MAPPING"
"FZD5_LRP6","NO_ORTHOLOG_IN_MAPPING"
"FZD6_LRP6","NO_ORTHOLOG_IN_MAPPING"
"FZD7_LRP6","NO_ORTHOLOG_IN_MAPPING"
